code_country;code_plot;survey_year;SamplingType;h;n_nh4;n_no3;mg;ca;k;na;cl;s_so4;WeakAcids_MA;n_org
999;1711;2000;OF;0.186;4.46;4.25;0.35;2.14;1.49;2.15;4.26;4.68;0.192;0.71
999;1711;2000;UC;0.109;6.22;6.52;1.07;4.28;13.59;2.36;5.55;6.24;0.152;1.69
999;1711;2001;OF;0.182;5.4;4.4;0.35;1.9;1.57;2.3;4.18;4.77;0.214;0.79
999;1711;2001;UC;0.104;5.42;7.27;1.07;4.12;14.8;2.55;5.44;6.55;0.228;1.67
999;1711;2002;OF;0.124;7.4;4.97;0.39;2.56;1.48;1.89;3.11;5.95;0.166;1.12
999;1711;2002;UC;0.073;8.38;8.51;1.42;5.29;18.46;2.17;4.8;7.58;0.494;1.76
999;1711;2003;OF;0.065;4.81;3.66;0.57;2.68;2.55;1.97;3.15;4.44;0.097;0.76
999;1711;2003;UC;0.031;8.56;5.76;1.26;4.58;13.62;2.01;4.8;5.52;0.484;1.97
999;1711;2004;OF;0.117;4.7;4.04;0.54;2.62;2.06;2.21;3.7;4.69;0.161;0.76
999;1711;2004;UC;0.033;8.09;5.94;1.82;5.16;26.41;2.73;6.49;6.87;0.606;2.55
999;1711;2005;OF;0.1;4.73;4.63;0.52;2.44;1.67;2.21;4.37;4;0.104;0.77
999;1711;2005;UC;0.219;4.3;8.99;1.55;5.02;16.36;2.86;7.02;5.84;0.493;1.92
999;1711;2006;OF;0.073;4.06;3.58;0.42;2.05;1.96;1.78;3.27;3.15;0.115;1.48
999;1711;2006;UC;0.02;8.84;4.77;1.62;4.65;20.8;2.32;6.67;5.36;0.576;2.48
999;1711;2007;OF;0.031;6.12;4.283;0.598;2.543;1.859;3.13;5.446;4.326;0.131;1.609
999;1711;2007;UC;0.01;12.272;5.239;2.174;6.25;26.641;3.978;8.967;6.772;0.676;3.565
999;1711;2008;OF;0.02;5.37;3.94;0.47;2.66;1.91;2.11;3.33;3.72;0.082;0.85
999;1711;2008;UC;0.003;6.91;11.09;1.98;5.78;22.04;2.73;6.7;6.16;0.536;2.27
999;1711;2009;OF;0.046;5.19;3.64;0.49;1.86;2.31;1.9;3.75;3.31;0.135;1.19
999;1711;2009;UC;0.009;12.65;5.26;2.12;4.9;26.7;2.08;5.68;5.74;0.814;3.47
999;1711;2010;OF;0.069;5.89;4;0.44;2.02;2.48;2.06;3.65;3.61;0.193;1.31
999;1711;2010;UC;0.04;12.54;4.57;1.82;4.81;30.46;2.09;4.72;5.58;NA;2.09
999;1711;2011;OF;0.027;5.402;3.152;0.467;2.424;2.12;2.467;4.261;3.272;0.161;1.457
